Game,Date,A,B,C,D,E,F
2,06/01/2018,1,2,7,12,19,28
4,13/01/2018,1,4,8,9,16,40
6,20/01/2018,22,26,32,33,36,37
8,27/01/2018,7,8,11,16,29,33
10,03/02/2018,8,14,24,32,36,40
12,10/02/2018,1,11,21,32,34,39
14,17/02/2018,1,7,16,26,29,38
16,24/02/2018,1,2,11,14,29,33
18,03/03/2018,1,14,18,22,25,40
20,10/03/2018,3,7,8,12,24,29
22,17/03/2018,4,5,14,16,22,35
24,24/03/2018,6,8,9,15,25,33
26,31/03/2018,3,9,13,16,19,39
28,07/04/2018,11,14,22,25,37,40
30,14/04/2018,3,4,11,14,19,23
32,21/04/2018,11,19,20,23,32,39
34,28/04/2018,5,10,13,22,25,39
36,05/05/2018,6,8,19,33,35,37
38,12/05/2018,6,24,25,31,33,38
40,19/05/2018,9,10,27,28,29,34
42,26/05/2018,13,14,20,21,29,30
44,02/06/2018,4,6,13,31,34,38
46,09/06/2018,7,15,31,33,34,37
48,16/06/2018,3,9,12,24,31,39
50,23/06/2018,2,6,16,17,23,26
52,30/06/2018,1,10,11,14,24,25
54,07/07/2018,18,22,26,32,35,40
56,14/07/2018,18,25,26,27,34,37
58,21/07/2018,2,5,7,18,28,39
60,28/07/2018,13,18,24,30,31,33
62,04/08/2018,1,4,22,25,34,40
64,11/08/2018,3,17,21,24,25,29
66,18/08/2018,15,16,26,35,38,40
68,25/08/2018,5,18,19,26,36,37
70,01/09/2018,10,12,24,28,31,35
71,05/09/2018,2,6,24,33,38,39
72,08/09/2018,21,24,25,37,39,40
73,12/09/2018,10,11,12,18,21,37
74,15/09/2018,3,8,9,26,31,39
75,19/09/2018,8,10,12,13,27,34
76,22/09/2018,4,7,11,19,22,25
77,26/09/2018,11,20,21,31,37,40
78,29/09/2018,1,4,10,22,23,29
79,03/10/2018,11,16,23,29,34,36
80,06/10/2018,8,11,31,33,39,40
81,10/10/2018,4,15,19,31,34,38
82,13/10/2018,4,8,13,17,37,38
83,17/10/2018,8,18,19,24,34,40
84,20/10/2018,1,4,13,15,19,33
85,24/10/2018,6,16,21,28,33,39
86,27/10/2018,14,16,22,24,27,30
87,31/10/2018,19,22,23,25,28,33
88,03/11/2018,7,15,21,32,33,35
89,07/11/2018,1,8,13,24,29,40
90,10/11/2018,4,7,10,21,26,38
91,14/11/2018,5,10,20,21,27,31
92,17/11/2018,2,3,6,28,34,35
93,21/11/2018,6,7,11,19,24,36
94,24/11/2018,1,6,19,24,30,35
95,28/11/2018,2,7,13,27,34,36
96,01/12/2018,4,10,13,23,31,34
97,05/12/2018,4,7,11,16,19,27
98,08/12/2018,8,9,14,15,27,40
99,12/12/2018,7,17,24,26,30,37
100,15/12/2018,2,7,18,21,25,34
101,19/12/2018,7,12,18,21,30,36
102,22/12/2018,6,13,17,35,36,40
103,26/12/2018,4,15,18,21,26,33
104,29/12/2018,6,16,28,31,37,39
